НТО ул. Авиационная, вл.68; Авиационная улица, дом 68; Северо-Западный административный округ; район Щукино; Компания ФРЕГАТ; 55.8097215134657; 37.4562557224584
НТО Андропова пр-кт., вл. 32дробь37; проспект Андропова, дом 32/37; Южный административный округ; район Нагатино-Садовники; У Метро; 55.6777581509436; 37.6628165175022
НТО Л. Бабушкина ул., вл.31; внутригородская территория муниципальный округ Бабушкинский, улица Лётчика Бабушкина, дом 31; Северо-Восточный административный округ; Бабушкинский район; АЛИМПИС; 55.8706108610532; 37.675551738828
НТО Багратионовский пр-д, (м,Фили); Багратионовский проезд, дом 4; Западный административный округ; район Филёвский Парк; Агентство Печати 41; 55.7466091158182; 37.5138909678161
НТО Бажова ул., д. 9; внутригородская территория муниципальный округ Ростокино, улица Бажова, дом 9; Северо-Восточный административный округ; район Ростокино; АЛИМПИС; 55.8346723544169; 37.6613547354515
НТО Байкальская ул., вл. 37; внутригородская территория муниципальный округ Гольяново, Байкальская улица, дом 37; Восточный административный округ; район Гольяново; КАП; 55.817305; 37.814197
НТО Бауманская, вл. 33дробь2, стр. 3; внутригородская территория муниципальный округ Басманный, Бауманская улица, дом 33/2, строение 3; Центральный административный округ; Басманный район; ЮРКОНСАЛТИНГ; 55.7727605718057; 37.6795414255958
НТО Барклая ул., вл. 11а; внутригородская территория муниципальный округ Филевский Парк, улица Барклая, дом 11; Западный административный округ; район Филёвский Парк; У Метро; 55.743744; 37.497542
НТО Бауманская, вл. 38, стр. 1; внутригородская территория муниципальный округ Басманный, Бауманская улица, дом 38, строение 1; Центральный административный округ; Басманный район; АЛИМПИС; 55.771407125249; 37.678596517568
НТО Протопоповский пер., вл. 18; внутригородская территория муниципальный округ Мещанский, Протопоповский переулок, дом 16; Центральный административный округ; Мещанский район; АЛИМПИС; 55.779636; 37.640902
НТО Генерала Белова ул., вл. 33дробь19; внутригородская территория муниципальный округ Орехово-Борисово Северное, улица Генерала Белова, дом 33/19; Южный административный округ; район Орехово-Борисово Северное; МОДУЛЬ ОЙЛ; 55.612374482602; 37.7217586220822
НТО Беловежская ул., вл.1; внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 1; Западный административный округ; Можайский район; АРЕАЛ; 55.7151587518707; 37.4018117241382
НТО Белозерская ул., 9; Белозерская улица, дом 9; Северо-Восточный административный округ; район Бибирево; КАП; 55.8973633215287; 37.6138323365954
НТО пр. Берингов, вл. 3; внутригородская территория муниципальный округ Свиблово, Берингов проезд, дом 3; Северо-Восточный административный округ; район Свиблово; Азбука; 55.8568708588175; 37.659136607522
НТО Бескудниковский б-р, вл. 18 с последующим выводом на компенсационный участок; Бескудниковский бульвар, дом 20, корпус 1; Северный административный округ; Бескудниковский район; У Метро; 55.8644528834183; 37.560371085147
НТО Бескудниковский бульвар, вл. 40, корп. 1; Бескудниковский бульвар, дом 40, корпус 1; Северный административный округ; Бескудниковский район; У Метро; 55.8739082806835; 37.549634139965
НТО Бескудниковский бульвар, вл. 40, корп.3; внутригородская территория муниципальный округ Бескудниковский, Бескудниковский бульвар, дом 40, корпус 3; Северный административный округ; Бескудниковский район; У Метро; 55.873816; 37.550806
НТО Бескудниковский бульвар, вл. 55; Бескудниковский бульвар, дом 55, корпус 1; Северный административный округ; Бескудниковский район; У Метро; 55.873145263977; 37.5391216216763
НТО Бестужевых ул., 13; улица Бестужевых, дом 13; Северо-Восточный административный округ; район Отрадное; АРЕАЛ; 55.8701756974742; 37.6033093481284
НТО ул. Маршала Бирюзова, вл. 13 (в 25-ти метровой зоне); внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 13; Северо-Западный административный округ; район Щукино; АЛИМПИС; 55.7925717049623; 37.4947890515826
НТО Бирюзова ул., вл.14; внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 14; Северо-Западный административный округ; район Щукино; АЛФАВИТ; 55.794244; 37.49241
НТО Маршала Бирюзова, вл. 17; внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 17; Северо-Западный административный округ; район Щукино; АЛФАВИТ; 55.7937808379701; 37.4925135992436
НТО Маршала Бирюзова, вл. 19; улица Маршала Бирюзова, дом 19; Северо-Западный административный округ; район Щукино; АЛИМПИС; 55.7945044477752; 37.4910094128251
НТО Маршала Бирюзова, вл. 20 к.1; внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 20, корпус 1; Северо-Западный административный округ; район Щукино; МК-СЕРВИС; 55.795133509999; 37.4905212943505
НТО Маршала Бирюзова, вл. 30; улица Маршала Бирюзова, дом 30; Северо-Западный административный округ; район Щукино; ИНВЕСТ ГРУПП; 55.7980171898623; 37.4850382343986
НТО Бирюлевская ул., вл. 5; Бирюлёвская улица, дом 5, корпус 1; Южный административный округ; район Бирюлёво Восточное; Амо-пресс; 55.599633989027; 37.6629256803796
НТО Бирюлевская ул., вл. 13; внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 13, корпус 1; Южный административный округ; район Бирюлёво Восточное; Антарес; 55.5965274024716; 37.663060228993
НТО Бирюлевская ул., вл. 31; внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 31, корпус 1; Южный административный округ; район Бирюлёво Восточное; АЛИМПИС; 55.5910852003215; 37.6643450421798
НТО Бирюлевская ул., вл. 31 к.1; внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 31, корпус 1; Южный административный округ; район Бирюлёво Восточное; АРЕАЛ; 55.5913895565625; 37.6642362685168
НТО Бирюлевская ул., вл. 41; внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 41/7; Южный административный округ; район Бирюлёво Восточное; Сейлс; 55.5877695721226; 37.665176683114
НТО Бирюлевская ул., вл. 45; внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 45, корпус 1; Южный административный округ; район Бирюлёво Восточное; АРЕАЛ; 55.5852954320104; 37.6673630379351
НТО Борисовский пр., вл.3; внутригородская территория муниципальный округ Орехово-Борисово Северное, Борисовский проезд, дом 3, корпус 1; Южный административный округ; район Орехово-Борисово Северное; Мультитранс; 55.6251771276547; 37.7151588677703
НТО Борисовский пр., вл. 38; внутригородская территория муниципальный округ Орехово-Борисово Северное, Борисовский проезд, дом 38, корпус 1; Южный административный округ; район Орехово-Борисово Северное; Мультитранс; 55.6172131531615; 37.728064268906
НТО Боровское ш., вл.29; Боровское шоссе, дом 29; Западный административный округ; район Ново-Переделкино; У Метро; 55.6447140454006; 37.3649114961686
НТО Боровское ш., вл.36; Боровское шоссе, дом 36; Западный административный округ; район Ново-Переделкино; У Метро; 55.6392121932863; 37.353120576673
НТО Грина ул., вл.3 к.2; внутригородская территория муниципальный округ Северное Бутово, улица Грина, дом 3, корпус 2; Юго-Западный административный округ; район Северное Бутово; Амо-пресс; 55.5659786675982; 37.5754661399155
НТО Ботаническая ул., вл. 23; Ботаническая улица, дом 23; Северо-Восточный административный округ; район Марфино; Антарес; 55.8299279530394; 37.6007411865074
НТО Бочкова ул., д. 3; внутригородская территория муниципальный округ Останкинский, улица Бочкова, дом 3; Северо-Восточный административный округ; Останкинский район; АЛИМПИС; 55.810077802606; 37.6357435105306
НТО 2-я Брестская ул., вл.37-39; внутригородская территория муниципальный округ Пресненский, 2-я Брестская улица, дом 37, строение 1; Центральный административный округ; Пресненский район; ГКС; 55.773251; 37.58526
НТО Большая Бронная ул., вл.29; внутригородская территория муниципальный округ Тверской, Большая Бронная улица, дом 29; Центральный административный округ; Тверской район; У Метро; 55.7650443356534; 37.6036634408675
НТО Буденного просп., вл. 9; внутригородская территория муниципальный округ Соколиная Гора, проспект Будённого, дом 11; Восточный административный округ; район Соколиная Гора; Амо-пресс; 55.7778406636915; 37.721392008029
НТО Буденного просп., вл. 23; внутригородская территория муниципальный округ Соколиная Гора, проспект Будённого, дом 23; Восточный административный округ; район Соколиная Гора; Амо-пресс; 55.7713013351833; 37.7282714165432
НТО Проспект Буденного, вл.41дробь7; внутригородская территория муниципальный округ Соколиная Гора, проспект Будённого, дом 47; Восточный административный округ; район Соколиная Гора; АРЕАЛ; 55.7633255728554; 37.7347508665114
НТО Булатниковская ул., вл.1, корп. 1; Булатниковская улица, дом 1, корпус 1; Южный административный округ; район Бирюлёво Западное; АЛИМПИС; 55.5798176847179; 37.6584732106352
НТО Булатниковская ул., вл.4, корп. 1; внутригородская территория муниципальный округ Бирюлево Западное, Булатниковская улица, дом 4, корпус 1; Южный административный округ; район Бирюлёво Западное; ЛОГОС-М2; 55.5804543063993; 37.6479072379028
НТО Булатниковский пр., вл.14, корп. 6; внутригородская территория муниципальный округ Бирюлево Западное, Булатниковский проезд, дом 14, корпус 6; Южный административный округ; район Бирюлёво Западное; ИНВЕСТ ГРУПП; 55.5810773876245; 37.658254346471
НТО Бутырская ул., вл. 86; внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 86; Северо-Восточный административный округ; Бутырский район; АРЕАЛ; 55.8078200065554; 37.5810918764127
НТО Вавилова ул., вл. 74; внутригородская территория муниципальный округ Ломоносовский, улица Вавилова, дом 74/22; Юго-Западный административный округ; Ломоносовский район; У Метро; 55.6804582819831; 37.5466212514791
НТО Варшавское ш., вл. 158к1; внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 158, корпус 1; Южный административный округ; район Чертаново Южное; У Метро; 55.5851547250312; 37.5969062476657
НТО ул. Маршала Василевского, вл.15; внутригородская территория муниципальный округ Щукино, улица Маршала Василевского, дом 15; Северо-Западный административный округ; район Щукино; Сейлс; 55.8076034574414; 37.465295765153
НТО Васильевская ул., д.7; внутригородская территория муниципальный округ Пресненский, Васильевская улица, дом 7; Центральный административный округ; Пресненский район; АРЕАЛ; 55.7710990803894; 37.5866818653311
НТО Веерная ул., 3 корп. 1; внутригородская территория муниципальный округ Очаково-Матвеевское, Веерная улица, дом 3, корпус 1; Западный административный округ; район Очаково-Матвеевское; У Метро; 55.708704; 37.480594
НТО Велозаводская ул., вл.2; внутригородская территория муниципальный округ Даниловский, Велозаводская улица, дом 2; Южный административный округ; Даниловский район; У Метро; 55.7168140612436; 37.6637117034277
НТО Строителей ул., вл.10дробь9; внутригородская территория муниципальный округ Гагаринский, проспект Вернадского, дом 9/10; Юго-Западный административный округ; Гагаринский район; У Метро; 55.6898338752559; 37.5306593236342
НТО Ст. метро «Университет» восточный выход, Вернадского проспект, вл.9; внутригородская территория муниципальный округ Гагаринский, проспект Вернадского, дом 9/10; Юго-Западный административный округ; Гагаринский район; У Метро; 55.6908320477935; 37.5346365656766
НТО Вернадского проспект, вл. 15; внутригородская территория муниципальный округ Ломоносовский, проспект Вернадского, дом 15; Юго-Западный административный округ; Ломоносовский район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.6862776495451; 37.5242014434261
НТО Вернадского просп., д.70а; проспект Вернадского, дом 70А; Западный административный округ; район Проспект Вернадского; КАП; 55.6716957330276; 37.495546
НТО Вернадского просп., вл.84; внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 84, корпус 1; Западный административный округ; район Тропарёво-Никулино; Антарес; 55.664465574041; 37.4827644501777
НТО Вернадского просп., вл. 109; внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 109; Западный административный округ; район Тропарёво-Никулино; Антарес; 55.663644726933; 37.4842817303045
НТО Вернадского пр-т., вл. 111; внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 111; Западный административный округ; район Тропарёво-Никулино; Антарес; 55.6612720103893; 37.4825999306524
НТО Вешних Вод ул., вл. 2; улица Вешних Вод, дом 2; Северо-Восточный административный округ; Ярославский район; АЛФАВИТ; 55.8590237886808; 37.695506799663
НТО Вешняковская ул., вл.3; Вешняковская улица, дом 3; Восточный административный округ; район Вешняки; Московская окраина; 55.7383119120134; 37.8202423951749
НТО Вешняковская ул., вл.19, стр.1; Вешняковская улица, дом 19; Восточный административный округ; район Вешняки; ИНВЕСТ ГРУПП; 55.7343130711111; 37.8305548367727
НТО Вешняковская ул., вл.26дробь21, стр.1; Вешняковская улица, дом 26, корпус 1; Восточный административный округ; район Вешняки; ИНВЕСТ ГРУПП; 55.7327237918391; 37.8299968819498
НТО Вильнюсская ул., вл.3; внутригородская территория муниципальный округ Ясенево, Вильнюсская улица, дом 3, корпус 1; Юго-Западный административный округ; район Ясенево; Антарес; 55.6060172753951; 37.5239930596614
НТО Вильнюсская ул., вл.8; внутригородская территория муниципальный округ Ясенево, Вильнюсская улица, дом 8, корпус 2; Юго-Западный административный округ; район Ясенево; СЕМЕЙНОЕ ЧТЕНИЕ; 55.6034871219687; 37.5211239895111
НТО Винокурова ул., вл.5дробь6; внутригородская территория муниципальный округ Академический, улица Винокурова, дом 5/6, корпус 1; Юго-Западный административный округ; Академический район; АЛИМПИС; 55.6888250334151; 37.5860650622053
НТО Всеволода Вишневского ул., вл.10; улица Всеволода Вишневского, дом 10; Северный административный округ; Тимирязевский район; АЛФАВИТ; 55.811475; 37.568546
НТО 1-я Владимирская ул., вл.15дробь1; 1-я Владимирская улица, дом 15, корпус 1; Восточный административный округ; район Перово; АРЕАЛ; 55.757977; 37.775308
НТО 1-я Владимирская ул., вл.21дробь2; внутригородская территория муниципальный округ Перово, 1-я Владимирская улица, дом 21; Восточный административный округ; район Перово; ЮРКОНСАЛТИНГ; 55.7563371698874; 37.7765206806473
НТО 1-я Владимирская ул., вл. 28; 1-я Владимирская улица, дом 28; Восточный административный округ; район Перово; АРЕАЛ; 55.7505316862475; 37.7791116871605
НТО 1-я Владимирская ул., вл.47Б; внутригородская территория муниципальный округ Перово, 1-я Владимирская улица, дом 47; Восточный административный округ; район Перово; Амо-пресс; 55.7463593388096; 37.7824532635634
НТО 2-я Владимирская ул., вл.7; 2-я Владимирская улица, дом 7; Восточный административный округ; район Перово; АЛФАВИТ; 55.7612784031689; 37.7788465493804
НТО 2-я Владимирская ул., вл.38дробь18; внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 38/18; Восточный административный округ; район Перово; ЮРКОНСАЛТИНГ; 55.750449854638; 37.7846352708184
НТО 2-я Владимирская ул., вл.43дробь23; внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 41, корпус 1; Восточный административный округ; район Перово; ГКС; 55.7516233074001; 37.7845821287202
НТО 2-я Владимирская ул., вл.46, корп.1А; внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 1; Восточный административный округ; район Перово; ЮРКОНСАЛТИНГ; 55.748138734617; 37.7860896991385
НТО Перовская ул.и 2-я Владимирская ул. (пересечение); внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 52, корпус 1; Восточный административный округ; район Перово; Амо-пресс; 55.7457063866088; 37.7873169881705
НТО 3-я Владимирская ул., вл.31дробь32; внутригородская территория муниципальный округ Перово, 3-я Владимирская улица, дом 31/33; Восточный административный округ; район Перово; АРЕАЛ; 55.752305909747; 37.7909724406671
НТО Зеленый просп., вл.31, стр.1; внутригородская территория муниципальный округ Перово, 3-я Владимирская улица, дом 31/33; Восточный административный округ; район Перово; Шумилина Галина Геннадьевна; 55.7522095742089; 37.7905371069124
НТО Волгоградский пр-т, вл.12; внутригородская территория муниципальный округ Таганский, Волгоградский проспект, дом 12; Центральный административный округ; Таганский район; АЛИМПИС; 55.7295339436016; 37.6750547908917
НТО Волгоградский проспект вл.59; внутригородская территория муниципальный округ Текстильщики, Волгоградский проспект, дом 59; Юго-Восточный административный округ; район Текстильщики; ГКС; 55.7095455776546; 37.7341493216302
НТО Волгоградский пр-т, вл. 123; Волгоградский проспект, дом 123; Юго-Восточный административный округ; район Кузьминки; Мультитранс; 55.7053094200588; 37.768004333054
НТО Волгоградский пр-т, вл. 149; внутригородская территория муниципальный округ Кузьминки, Волгоградский проспект, дом 149; Юго-Восточный административный округ; район Кузьминки; Мультитранс; 55.7036664335446; 37.7804617144787
НТО Волгоградский пр-т, вл. 163; внутригородская территория муниципальный округ Кузьминки, Волгоградский проспект, дом 163; Юго-Восточный административный округ; район Кузьминки; Мультитранс; 55.7028252108136; 37.7868035724802
НТО Волоколамское ш. 12; внутригородская территория муниципальный округ Сокол, Волоколамское шоссе, дом 14; Северный административный округ; район Сокол; АРЕАЛ; 55.809359; 37.494758
НТО Воронежская ул., вл.6; внутригородская территория муниципальный округ Орехово-Борисово Южное, Воронежская улица, дом 6; Южный административный округ; район Орехово-Борисово Южное; АРЕАЛ; 55.6087775922956; 37.723682526011
НТО ул. 800-летия Москвы, вл. 2; улица 800-летия Москвы, дом 2, корпус 1; Северный административный округ; Дмитровский район; АЛФАВИТ; 55.8753077922347; 37.531066
НТО 800-лет Москвы, д.2; улица 800-летия Москвы, дом 2, корпус 1; Северный административный округ; Дмитровский район; СМАРТМАТРИКС; 55.8758193791788; 37.5329687860901
НТО ул. 800-летия Москвы, вл. 5, к.1; внутригородская территория муниципальный округ Восточное Дегунино, улица 800-летия Москвы, дом 5, корпус 1; Северный административный округ; район Восточное Дегунино; СМАРТМАТРИКС; 55.8800947120637; 37.5561983992232
НТО ул. 800-летия Москвы, вл. 11; улица 800-летия Москвы, дом 11; Северный административный округ; район Восточное Дегунино; СМАРТМАТРИКС; 55.880614923449; 37.5638514522717
НТО Востряковский пр., вл.21; Востряковский проезд, дом 21, корпус 1; Южный административный округ; район Бирюлёво Западное; У Метро; 55.5746702233574; 37.6510672426572
НТО Вучетича ул., вл.18; внутригородская территория муниципальный округ Тимирязевский, улица Вучетича, дом 18, корпус 1; Северный административный округ; Тимирязевский район; АЛФАВИТ; 55.8110909999999; 37.5582229999999
НТО Высокая ул., вл. 20; Высокая улица, дом 20; Южный административный округ; район Нагатино-Садовники; Старкова Елена Геннадьевна; 55.681035085147; 37.6617521682857
НТО ул. Габричевского вл.10; улица Габричевского, дом 10, корпус 1; Северо-Западный административный округ; район Покровское-Стрешнево; АЛИМПИС; 55.8167441323421; 37.4596570073676
НТО Бориса Галушкина ул., вл. 14; внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 14, корпус 1; Северо-Восточный административный округ; Алексеевский район; Мультитранс; 55.823906524505; 37.6547717970424
НТО Героев Панфиловцев, вл.16; улица Героев Панфиловцев, дом 16, корпус 1; Северо-Западный административный округ; район Северное Тушино; Мультитранс; 55.8588284418889; 37.4252822054368
НТО Главная ул., вл.21; внутригородская территория муниципальный округ Восточный, Главная улица, дом 21; Восточный административный округ; район Восточный; СМАРТМАТРИКС; 55.820478184827; 37.8708856931586
НТО М. Голованова ул., вл. 19; внутригородская территория муниципальный округ Марьино, улица Маршала Голованова, дом 19; Юго-Восточный административный округ; район Марьино; Сейлс; 55.643812; 37.730236
НТО Головачева ул., вл. 15; внутригородская территория муниципальный округ Люблино, улица Головачёва, дом 15; Юго-Восточный административный округ; район Люблино; ЛОГОС-М2; 55.673042; 37.810766
НТО Головинское шоссе, 2; Головинское шоссе, дом 4; Северный административный округ; Войковский район; Антарес; 55.8389750943304; 37.4870992546261
НТО Головинское шоссе, 2; Головинское шоссе, дом 4; Северный административный округ; Войковский район; Антарес; 55.839238243071; 37.487192996495
НТО Голубинская ул., вл.25, корп.1; Голубинская улица, дом 25, корпус 1; Юго-Западный административный округ; район Ясенево; Антарес; 55.5971275566971; 37.5348171085281
НТО Городецкая ул., вл. 2; внутригородская территория муниципальный округ Новокосино, Городецкая улица, дом 3; Восточный административный округ; район Новокосино; У Метро; 55.7432491284496; 37.8639598918802
НТО Городецкая ул., вл.9; внутригородская территория муниципальный округ Новокосино, Городецкая улица, дом 9, корпус 1; Восточный административный округ; район Новокосино; Шумилина Галина Геннадьевна; 55.7393553496023; 37.8676971009315
НТО Госпитальный вал, д. 3, корп. 2; внутригородская территория муниципальный округ Басманный, улица Госпитальный Вал, дом 3, корпус 2; Центральный административный округ; Басманный район; ИНВЕСТ ГРУПП; 55.7715618445621; 37.7055794207303
НТО ул. Госпитальный Вал 16; улица Госпитальный Вал, дом 16/2; Юго-Восточный административный округ; район Лефортово; АРЕАЛ; 55.7731767334222; 37.7098800267689
НТО ул.Чаянова, вл.16; улица Чаянова, дом 16; Центральный административный округ; Тверской район; У Метро; 55.7771760159519; 37.5974491604307
НТО Грайвороновская ул. 16, к.1; внутригородская территория муниципальный округ Текстильщики, Грайвороновская улица, дом 16, корпус 1; Юго-Восточный административный округ; район Текстильщики; СМАРТМАТРИКС; 55.7199641176681; 37.7333309175387
НТО Грекова ул., вл. 8; внутригородская территория муниципальный округ Северное Медведково, улица Грекова, дом 8; Северо-Восточный административный округ; район Северное Медведково; АЛФАВИТ; 55.8863894175298; 37.6620377513308
НТО Грекова, вл.10 (напротив); внутригородская территория муниципальный округ Северное Медведково, улица Грекова, дом 10; Северо-Восточный административный округ; район Северное Медведково; АЛИМПИС; 55.8884860318423; 37.661881277242
